PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40079439,Myoepithelioma-like hyalinizing epithelioid tumors of the palm: A case report.,2025 Mar,"Bao X, Lu Q, Huang B, Zhang X",,
40079428,Anwulignan Alleviates Bone Cancer Pain by Modulating the PPARα/CXCR2 Signaling Pathway in the Rat Spinal Cord.,2025 Mar,"Wang Y, Liu Q, Jiang Y, Mao L, Zoubaa M, Wang J, Bu H, Ma M, Yuan J, Cao J, Fan X",,
40079425,Dosimetric effect of silicone-based gel on skin surface during volumetric modulated arc therapy for breast cancer.,2025 Mar 13,"Suzuki T, Ohira S, Ogita M, Ohta T, Nozawa Y, Minamitani M, Hayashi T, Saegusa S, Imae T, Ueyama T, Katano A, Yamashita H, Chang W, Nakagawa K",,
40079417,"Involvement of the disulfidptosis-related immune checkpoint gene, CD276, in glioblastoma malignant phenotype and poor prognosis.",2025 Mar 13,"Zhuo J, Zhang J, Xu Y, Ji M, Shen H, Cui G",,
40079412,Pyrrole-Tethered Bisbenzoxazole Derivatives: Apoptosis-Inducing Agents Targeting Breast Cancer Cells.,2025 Mar,"Kuzu B, Yetkin D, Hepokur C, Algul O",,
40079395,Necroptotic Suppression of Lung Cancer Cell Proliferation and Migration: A Comprehensive In Vitro and In Silico Study to Determine New Molecular Targets for Pexidartinib.,2025 Mar,"Hacıosmanoğlu-Aldoğan E, Lama D, Yetke Hİ, Şenol H, Yöntem FD",,
40079384,Health-Related Quality of Life in Breast Cancer Patients during Chemotherapy: A Cross-Sectional Study Using the EORTC QLQ-C30 and BR45.,2025 Mar 13,"Asad AH, Kaushik P, Syed J, Kherodkar JP, Katkar SR, Chaudhary A, Raut A",,
40079376,Male Breast Cancer in Portugal: A Descriptive Analysis of a 20-Year Cohort.,2025 Mar 13,"Montenegro MA, Domingues TD, Garcia TM, Ferreira RQ, Furtado IT, Escaleira R, Verdasca FR, Simão DC, Fernandes L, Oliveira SD",,
40079372,A pharmacokinetic and pharmacodynamic model of an interleukin-12 (IL-12) anchored-drug conjugate for the treatment of solid tumors.,2025 Mar 13,"Mistry HB, Hodson D, Battula S, Schmidt MM, Tighe R, Kaufman HL, Chassagnole C",,
40079268,"Development of 1,2,3-Triazolopyridazinone Derivatives as Potential Caspase 3 and Apoptosis Inducers: Design, Synthesis and Anticancer Activity Studies.",2025 Mar,"Erdemir GY, Kuruçay A, Ates B, Altundas A",,
40079263,Scaling up drug combination surface prediction.,2025 Mar 4,"Huusari R, Wang T, Szedmak S, Dias D, Aittokallio T, Rousu J",,
40079242,Allogeneic Stem Cell Transplant for Myelofibrosis and Myelodysplastic Syndromes: A Contemporary Review.,2025 Mar 13,"Gagelmann N, Kröger N",,
40079227,Organelle-targeted BODIPY-conjugated platinum(IV) anticancer prodrugs for overcoming drug resistance.,2025 Mar 13,"Xu Y, Zhang F, Li M, Zhang H, Yuan Y, Lin S, Yao L, Xu S, Yuan T, Yao H",,
40079223,The influence of sodium-glucose co-transporter-2 inhibitors on the risk of cancer therapy-related cardiac dysfunction: A meta-analysis.,2025 Mar 10,"Yan Z, Xing X, Huang J",,
40079196,Exploring the impact of RPN1 on tumorigenesis and immune response in cancer.,2025 Mar 31,"Luo P, Li Z, He H, Tang Y, Zeng L, Luo L, Ouyang L, Wen M, Li Y, Jiang Y",,
40079193,Perioperative Trends in Distress Among Cancer Patients: A Systematic Review and Meta-Analysis.,2025 Mar,"Rowe DG, O'Callaghan E, Yoo S, Dalton JC, Woo J, Owolo E, Dalton T, Johnson MO, Goodwin AN, Crowell KA, Kaplan S, Erickson MM, Goodwin CR",,
40079192,"Correction to ""The Treatment of Primary Lymphoepithelioma-Like Carcinoma in the Head and Neck and Nasopharyngeal Carcinoma"".",2025 Mar,,,
40079186,Potential biological roles of exosomal non-coding RNAs in breast cancer.,2025 Mar 31,"Li X, Gong J, Ni X, Yin J, Zhang Y, Lv Z",,
40079180,"Design, synthesis and biological evaluation of pyrazolo[3,4-b]pyridine derivatives as dual CDK2/PIM1 inhibitors with potent anti-cancer activity and selectivity.",2025 Mar 13,"Elkotamy MS, Elgohary MK, Alkabbani MA, Binjubair FA, Alanazi MM, Alsulaimany M, Al-Rashood ST, Ghabbour HA, Abdel-Aziz HA",,
40079167,Developing and Implementing a Colorectal Cancer Screening Program in Uganda: Stakeholder Perceived Barriers and Opportunities.,2025 Mar,"Matovu N, Coleman HG, Mutungi G, Donnelly M, Lohfeld L, Johnston BT, Loughrey MB, Mugisha NM, McShane CM",,
40079116,Intratumoral Injection of R848 and Poly(I:C) Synergistically Promoted Antitumour Immune Responses by Reprogramming Macrophage Polarization and Activating DCs in Lung Cancer.,2025 Mar 13,"Chen S, Li L, Yuan H, Gui H, Wan Q, Wang M, Lv H, Wang C, Zhu L, Nie Y, Zhang X",,
40079115,Cascade-Responsive Nanoprodrug Disrupts Immune-Fibroblast Communications for Potentiated Cancer Mechanoimmunotherapy.,2025 Mar 13,"Guan X, Shen Y, Zhao C, Li X, Li X, Lu D, Wang L, Liu L, Wu S, Huang B, Guo L, Xu H",,
40079105,Impact of hematopoietic cell transplantation and quizartinib in newly diagnosed patients with acute myeloid leukemia and FMS-like tyrosine kinase 3-internal tandem duplications in the QuANTUM-First trial.,2025 Mar 13,"Schlenk RF, Montesinos P, Kim HJ, Romero-Aguilar A, Vrhovac R, Patkowska E, Žak P, Wang PN, Hanyok J, Liu L, Kamel YM, Imadalou K, Lesegretain A, Cortes J, Sekeres MA, Dombret H, Amadori S, Wang J, Perl AE, Levis MJ, Erba HP",,
40079099,Integration of Photodiagnosis and Therapy Guided by Micro/Nanorobots.,2025 Mar 13,"Ding Q, Huang S, Zhang Z, Yu D, Li M, He Q, Mei L",,
40079097,Real-world comparison of lisocabtagene maraleucel and axicabtagene ciloleucel in large B-cell lymphoma: an inverse probability of treatment weighting analysis with 3-year follow up.,2025 Mar 13,"Portuguese AJ, Huang JJ, Jeon Y, Taheri M, Albittar A, Liang EC, Hirayama AV, Kimble EL, Iovino L, Poh C, Gopal AK, Shadman M, Till BG, Milano F, Chapuis AG, Otegbeye F, Cassaday RD, Basom RS, Wu QV, Maloney DG, Gauthier J",,
40079085,Bruton tyrosine kinase covalent inhibition shapes the immune microenvironment in chronic lymphocytic leukemia.,2025 Mar 13,"Medina-Gil D, Palomo L, Navarro V, Lázaro G, Martín-Mur B, Hernández C, Castells O, Sánchez B, Muñoz-Torres PM, Pagès C, Pujadas G, Esteve-Codina A, Cabirta A, Ferrà C, Alcoceba M, Terol MJ, Andreu R, Martí M, Abrisqueta P, Bosch F, Crespo M, Spanish Group of Chronic Lymphocytic Leukemia - GELLC",,
40079075,Opioid withdrawal syndrome induced by naldemedine administration in a cancer patient without brain metastasis.,2025 Mar 13,"Ishida M, Okamoto K, Koyama I, Uchida N, Sato I, Yoshioka A, Sato R, Onishi H",,
40079066,MXenes and MXene-based composites for biomedical applications.,2025 Mar 13,"Dutta T, Alam P, Mishra SK",,
40079041,Surgical management of oligometastatic recurrence in primary esophageal melanoma: a feasible approach in resource-limited settings.,2025 Mar,"Kondratskyi Y, Pepenin M, Horodetskyi A, Dobrzhanskyi O, Kolesnyk A, Shudrak Y, Krotevych M",,
40079038,Occult breast cancer discovered due to a large mass in the axilla: a case report.,2025 Mar,"Yoshino R, Ujiie N, Yasuda S, Kitada M",,
40079023,Cryptophycin unit B analogues.,2025,"Schachtsiek T, Voss J, Hamsen M, Neumann B, Stammler HG, Sewald N",,
40079015,Analysis of single-cell and spatial transcriptomics in TNBC cell-cell interactions.,2025,"Xin Y, Ma Q, Deng Q, Wang T, Wang D, Wang G",,
40079009,The role of tumor-associated macrophages in lung cancer.,2025,"Zhu R, Huang J, Qian F",,
40079007,Phase 2 study of chidamide in combination with CAG and venetoclax-azacitidine in older patients with newly diagnosed acute myeloid leukemia.,2025,"Liu Q, Yang J, Lv L, Zhang X, Li M, Xu L, Huang S, Jing Y, Dou L",,
40079005,Multiparameter flow cytometric and transcriptional analyis of CD20 positive T-cells in bone marrow in patients of multiple myeloma and monoclonal gammopathy of undetermined significance.,2025,"Forró B, Kajtár B, Lacza Á, Kereskai L, Vida L, Kőszegi B, Urbán P, Kun J, Gyenesei A, Kosztolányi S, Kehl D, Jáksó P",,
40079001,Immune repertoire sequencing reveals differences in treatment response to camrelizumab plus platinum-based chemotherapy in advanced ESCC.,2025,"Zhang X, Zhao W, Du Y, Su F, Zhang Y, Wang H, Li Y, Liu M, Gao Y, Cai L, Feng T, Wang M, Yao C, Xu N, Wang Y, Song G, Hu W, Zhao J",,
40078999,Maplirpacept: a CD47 decoy receptor with minimal red blood cell binding and robust anti-tumor efficacy.,2025,"Krishnamoorthy M, Seelige R, Brown CR, Chau N, Nielsen Viller N, Johnson LDS, Linderoth E, Wang JCY, Dillon CP, Abayasiriwardana K, Lees C, Wong M, Kaneda MM, Uger RA, Lin GHY",,
40078996,Prospect of extracellular vesicles in tumor immunotherapy.,2025,"Xia W, Tan Y, Liu Y, Xie N, Zhu H",,
40078995,The multi-faceted immune modulatory role of S100A4 in cancer and chronic inflammatory disease.,2025,"Wong T, Kang R, Yun K",,
40078993,CAR-T cells in the treatment of multiple myeloma: an encouraging cell therapy.,2025,"Yu T, Jiao JH, Wu MF",,
40078991,Regulation of the immune microenvironment by SUMO in diabetes mellitus.,2025,"Zhuo Y, Fu S, Qiu Y",,
40078990,Advances in primary large B-cell lymphoma of immune-privileged sites.,2025,"Wang L, Guo M, Hou S",,
40078989,Combination autologous stem cell transplantation with chimeric antigen receptor T-cell therapy for refractory/relapsed B-cell lymphoma: a single-arm clinical study.,2025,"Li D, Liu R, Fu Z, Yang F, Ma L, Guo Y, Cao M, Lei Y, Dou Y, Zhang X, Gao Y, Wei B, Deng B, Ke X, Hu K",,
40078987,Single-cell RNA-sequencing reveals cellular heterogeneity and immune microenvironment characteristics between ocular adnexal mucosa-associated lymphoid lymphoma and IgG4-related ophthalmic disease.,2025,"Yang Y, Wang Y, Jin X, He W",,
40078986,Impact of menopause and age on breast density and background parenchymal enhancement in dynamic contrast-enhanced magnetic resonance imaging.,2025 Nov,"Kuling G, Brooks JD, Curpen B, Warner E, Martel AL",,
40078964,Profiling hippocampal neuronal populations reveals unique gene expression mosaics reflective of connectivity-based degeneration in the Ts65Dn mouse model of Down syndrome and Alzheimer's disease.,2025,"Alldred MJ, Ibrahim KW, Pidikiti H, Lee SH, Heguy A, Chiosis G, Mufson EJ, Stutzmann GE, Ginsberg SD",,
40078961,TRP channels and breast cancer: the role of TRPs in the pathophysiological development.,2025,"Zhang Y, Yi Y, Shu Y, Ru X, He S",,
40078927,Identification and Experimental Validation of Biomarkers Related to MiR-125a-5p in Chronic Obstructive Pulmonary Disease.,2025,"Jing X, Li Y",,
40078904,Outcomes of Prostatic Artery Embolization for Treating Benign Prostatic Hyperplasia Symptoms: A Prospective Single-Center Study.,2025 Mar,"Delazar S, Azadnajafabad S, Firouznia K, Nowroozi MR, Amini E, Fotouhi M, Ghanaati H",,
40078864,Sunscreen Coverage as Preventive Care Under the Affordable Care Act: A Low-Cost Way to Reduce the Prevalence of the Most Common Cancer.,2025 Feb,"Fletcher KA, Parker ER, Drolet BC",,
40078844,Postmastectomy Late Breast Reconstruction with Transverse Rectus Abdominis Flap after Primary Closure with Latissimus Dorsi.,2025 Feb,"Micali E, Mattar A, Burattini ACB, Gebrim LH, Vieira RADC",,
40078787,Regulation of Ferroptosis in Cancer and Immune Cells.,2025 Feb,"Jang N, Kim IK, Jung D, Chung Y, Kang YP",,
40078784,Interferon-driven Metabolic Reprogramming and Tumor Microenvironment Remodeling.,2025 Feb,"Chang TH, Ho PC",,
40078783,Regulatory T Cell Metabolism: A Promising Therapeutic Target for Cancer Treatment?,2025 Feb,"Kim J, Li J, Wei J, Lim SA",,
40078705,Mapping the landscape of vitamin D in cancer studies: a systematic global investigation.,2025 Jun,"Faryabi A, Salari MA, Dalvand A, Akbarniakhaky H, Mohammadi G, Aazami H, Razi F, Dehghanbanadaki H",,
40078651,Advancing Nanomedicine Through Electron Microscopy: Insights Into Nanoparticle Cellular Interactions and Biomedical Applications.,2025,"Akhtar S, Zuhair F",,
40078621,Multidisciplinary Management of an Anterior Skull Base Teratoma in a Neonate.,2025 Mar,"Allison SG, Soltani H, Sethia R, McGrath JL, Rastatter JC, Yamada A",,
40078564,Adaptive neoadjuvant endocrine therapy screens out prime population of ribociclib intensive adjuvant therapy.,2025 Jan 30,"Bi Z, Ren T, Wang Y",,
40078562,Clinicopathological and molecular features of HR (+) /HER2 (-) breast cancer patients with distinct endocrine resistance patterns.,2025 Jan 30,"Zhang S, Wang H, Zhang H, Zhuang Q, Zhu X, Xiao Y, Jiang Y",,
